User_ID,User_Persona,Age_Group,City,Device_Type,Bank,Join_Date
U0001,Family User,30-39,Ahmedabad,Android,ICICI Bank,06-10-2023
U0002,Student,18-20,Jaipur,Android,Kotak Mahindra Bank,16-09-2023
U0003,Student,21-24,Delhi,Android,ICICI Bank,09-11-2024
U0004,Working Professional,35-44,Delhi,Android,Kotak Mahindra Bank,26-11-2023
U0005,Working Professional,25-34,Kolkata,Android,HDFC Bank,12-07-2024
U0006,Budget Conscious,25-34,Ahmedabad,Android,State Bank of India,11-06-2026
U0007,Student,21-24,Mumbai,Android,HDFC Bank,21-12-2025
U0008,Working Professional,25-34,Kolkata,Android,HDFC Bank,01-09-2025
U0009,Budget Conscious,45-54,Mumbai,iOS,Axis Bank,08-08-2024
U0010,Student,21-24,Jaipur,Android,State Bank of India,31-12-2023
U0011,Family User,50-59,Mumbai,Android,ICICI Bank,30-12-2024
U0012,Budget Conscious,25-34,Noida,iOS,Axis Bank,06-11-2025
U0013,Working Professional,35-44,Chandigarh,Android,State Bank of India,04-01-2025
U0014,Working Professional,25-34,Ahmedabad,iOS,HDFC Bank,06-01-2024
U0015,Family User,30-39,Ludhiana,Android,ICICI Bank,23-01-2026
U0016,Working Professional,25-34,Jaipur,Android,ICICI Bank,16-04-2026
U0017,Budget Conscious,25-34,Noida,iOS,State Bank of India,06-01-2025
U0018,Working Professional,22-24,Noida,iOS,Kotak Mahindra Bank,22-05-2024
U0019,Frequent Traveler,35-44,Noida,Android,Axis Bank,02-06-2026
U0020,Frequent Traveler,45-54,Hyderabad,Android,ICICI Bank,28-12-2025
U0021,Working Professional,35-44,Ludhiana,Android,Kotak Mahindra Bank,08-04-2025
U0022,Working Professional,35-44,Pune,Android,ICICI Bank,12-04-2026
U0023,Family User,30-39,Delhi,iOS,ICICI Bank,22-03-2026
U0024,Family User,50-59,Pune,Android,Axis Bank,24-11-2025
U0025,Working Professional,25-34,Ludhiana,Android,Kotak Mahindra Bank,12-10-2024
U0026,Frequent Traveler,25-34,Jaipur,Android,Kotak Mahindra Bank,08-09-2023
U0027,Budget Conscious,45-54,Chandigarh,Android,Axis Bank,16-03-2025
U0028,Student,18-20,Ahmedabad,iOS,State Bank of India,12-06-2025
U0029,High Spender,30-39,Ludhiana,iOS,State Bank of India,10-04-2024
U0030,Frequent Traveler,45-54,Kolkata,Android,State Bank of India,12-07-2025
U0031,Budget Conscious,45-54,Ludhiana,iOS,Kotak Mahindra Bank,11-12-2024
U0032,Working Professional,22-24,Mumbai,iOS,State Bank of India,15-04-2024
U0033,Working Professional,22-24,Kolkata,iOS,HDFC Bank,26-08-2023
U0034,Budget Conscious,25-34,Ludhiana,Android,ICICI Bank,22-11-2024
U0035,Family User,50-59,Bengaluru,Android,Kotak Mahindra Bank,23-09-2025
U0036,Working Professional,22-24,Ludhiana,Android,ICICI Bank,01-07-2026
U0037,Budget Conscious,35-44,Jaipur,Android,Axis Bank,10-12-2024
U0038,Frequent Traveler,35-44,Mumbai,Android,HDFC Bank,17-05-2025
U0039,Working Professional,35-44,Ludhiana,Android,ICICI Bank,24-03-2026
U0040,Student,18-20,Noida,Android,HDFC Bank,28-12-2023
U0041,Frequent Traveler,25-34,Ludhiana,Android,Axis Bank,14-02-2025
U0042,Working Professional,22-24,Ahmedabad,iOS,Kotak Mahindra Bank,03-03-2024
U0043,Family User,30-39,Hyderabad,Android,ICICI Bank,11-11-2024
U0044,Student,21-24,Chandigarh,Android,Axis Bank,23-09-2025
U0045,Frequent Traveler,25-34,Jaipur,Android,HDFC Bank,04-08-2025
U0046,Student,21-24,Mumbai,Android,ICICI Bank,30-03-2026
U0047,Family User,30-39,Pune,Android,Axis Bank,06-03-2025
U0048,Working Professional,22-24,Hyderabad,Android,Kotak Mahindra Bank,24-09-2023
U0049,Student,18-20,Mumbai,iOS,ICICI Bank,09-05-2024
U0050,Student,21-24,Hyderabad,Android,Axis Bank,24-01-2026
U0051,High Spender,30-39,Pune,Android,Axis Bank,20-03-2024
U0052,Working Professional,25-34,Gurgaon,Android,Kotak Mahindra Bank,08-02-2024
U0053,Family User,40-49,Bengaluru,Android,ICICI Bank,21-12-2025
U0054,High Spender,50-59,Ahmedabad,Android,State Bank of India,10-11-2023
U0055,Student,21-24,Ludhiana,iOS,Kotak Mahindra Bank,20-10-2024
U0056,Student,18-20,Bengaluru,Android,HDFC Bank,31-08-2023
U0057,Family User,30-39,Pune,Android,Kotak Mahindra Bank,01-07-2024
U0058,Working Professional,35-44,Delhi,Android,Axis Bank,02-12-2025
U0059,Family User,50-59,Ludhiana,Android,State Bank of India,02-11-2025
U0060,Working Professional,35-44,Chandigarh,Android,Axis Bank,28-10-2025
U0061,Student,21-24,Hyderabad,Android,HDFC Bank,12-05-2025
U0062,Student,18-20,Mumbai,Android,Kotak Mahindra Bank,30-08-2023
U0063,Working Professional,25-34,Mumbai,iOS,State Bank of India,19-08-2023
U0064,Working Professional,25-34,Ludhiana,Android,Kotak Mahindra Bank,02-06-2025
U0065,High Spender,50-59,Ludhiana,Android,Kotak Mahindra Bank,23-05-2026
U0066,Working Professional,35-44,Mumbai,iOS,ICICI Bank,10-07-2024
U0067,Working Professional,22-24,Ahmedabad,Android,State Bank of India,30-08-2025
U0068,Working Professional,22-24,Ahmedabad,Android,State Bank of India,16-09-2023
U0069,Family User,40-49,Delhi,Android,Axis Bank,07-01-2025
U0070,Frequent Traveler,25-34,Delhi,Android,ICICI Bank,25-06-2024
U0071,Family User,40-49,Bengaluru,Android,Kotak Mahindra Bank,05-07-2024
U0072,Budget Conscious,45-54,Delhi,Android,ICICI Bank,26-06-2024
U0073,Family User,40-49,Kolkata,Android,Axis Bank,03-07-2026
U0074,Student,21-24,Chandigarh,iOS,HDFC Bank,08-02-2026
U0075,Frequent Traveler,25-34,Jaipur,Android,HDFC Bank,16-08-2023
U0076,Working Professional,35-44,Pune,iOS,ICICI Bank,11-09-2025
U0077,High Spender,30-39,Bengaluru,iOS,ICICI Bank,15-12-2023
U0078,Frequent Traveler,25-34,Bengaluru,Android,State Bank of India,02-02-2024
U0079,Budget Conscious,35-44,Jaipur,iOS,ICICI Bank,03-03-2025
U0080,Working Professional,35-44,Mumbai,Android,HDFC Bank,09-03-2026
U0081,Frequent Traveler,25-34,Noida,Android,Axis Bank,02-01-2025
U0082,Working Professional,22-24,Noida,Android,ICICI Bank,10-07-2024
U0083,Working Professional,25-34,Mumbai,iOS,State Bank of India,15-12-2025
U0084,Working Professional,35-44,Pune,Android,Kotak Mahindra Bank,22-01-2025
U0085,Working Professional,22-24,Mumbai,iOS,State Bank of India,26-05-2024
U0086,Student,21-24,Delhi,Android,Axis Bank,17-11-2025
U0087,Working Professional,25-34,Pune,Android,Kotak Mahindra Bank,11-05-2025
U0088,Student,18-20,Gurgaon,Android,Axis Bank,09-02-2025
U0089,Student,18-20,Chandigarh,Android,State Bank of India,25-02-2025
U0090,Family User,50-59,Mumbai,Android,State Bank of India,08-02-2024
U0091,Family User,50-59,Pune,Android,State Bank of India,15-09-2024
U0092,Family User,30-39,Pune,Android,Axis Bank,10-03-2024
U0093,Family User,30-39,Kolkata,Android,Axis Bank,10-11-2024
U0094,Family User,30-39,Gurgaon,Android,Axis Bank,07-05-2026
U0095,Budget Conscious,45-54,Jaipur,Android,Axis Bank,02-06-2024
U0096,Working Professional,22-24,Ludhiana,Android,ICICI Bank,25-01-2026
U0097,Family User,40-49,Ludhiana,Android,Kotak Mahindra Bank,19-09-2023
U0098,Working Professional,22-24,Jaipur,Android,ICICI Bank,21-10-2023
U0099,Student,18-20,Noida,iOS,Kotak Mahindra Bank,31-10-2024
U0100,Frequent Traveler,25-34,Hyderabad,Android,Kotak Mahindra Bank,01-08-2024
U0101,Student,21-24,Hyderabad,Android,ICICI Bank,27-10-2025
U0102,Family User,30-39,Mumbai,Android,ICICI Bank,10-11-2023
U0103,Student,21-24,Delhi,Android,HDFC Bank,05-07-2025
U0104,Working Professional,25-34,Jaipur,Android,Kotak Mahindra Bank,26-02-2024
U0105,Family User,40-49,Kolkata,Android,Kotak Mahindra Bank,12-07-2025
U0106,Working Professional,35-44,Hyderabad,iOS,Axis Bank,23-07-2025
U0107,Working Professional,22-24,Jaipur,Android,Kotak Mahindra Bank,08-07-2024
U0108,Working Professional,22-24,Gurgaon,Android,State Bank of India,17-04-2026
U0109,Working Professional,25-34,Chandigarh,iOS,HDFC Bank,21-08-2024
U0110,Student,18-20,Pune,Android,ICICI Bank,11-05-2025
U0111,Student,21-24,Chandigarh,Android,Axis Bank,26-10-2025
U0112,Student,21-24,Pune,iOS,Kotak Mahindra Bank,23-03-2026
U0113,High Spender,30-39,Kolkata,Android,HDFC Bank,29-09-2024
U0114,High Spender,40-49,Pune,iOS,Axis Bank,13-08-2025
U0115,Family User,50-59,Ludhiana,Android,ICICI Bank,29-09-2024
U0116,Working Professional,25-34,Pune,Android,Axis Bank,24-09-2023
U0117,Working Professional,35-44,Pune,Android,Axis Bank,15-04-2025
U0118,High Spender,50-59,Ludhiana,Android,Axis Bank,17-04-2025
U0119,Family User,50-59,Delhi,Android,Axis Bank,01-02-2025
U0120,Student,21-24,Bengaluru,Android,Axis Bank,14-02-2026
U0121,Working Professional,25-34,Chandigarh,Android,Axis Bank,28-07-2024
U0122,Working Professional,25-34,Gurgaon,iOS,Axis Bank,12-04-2026
U0123,Student,18-20,Chandigarh,Android,HDFC Bank,23-04-2025
U0124,Budget Conscious,45-54,Delhi,Android,ICICI Bank,31-07-2025
U0125,Student,18-20,Kolkata,Android,ICICI Bank,18-01-2026
U0126,Working Professional,22-24,Kolkata,iOS,Axis Bank,09-05-2024
U0127,Budget Conscious,35-44,Bengaluru,Android,HDFC Bank,26-09-2024
U0128,Budget Conscious,25-34,Gurgaon,Android,HDFC Bank,01-06-2025
U0129,High Spender,50-59,Jaipur,iOS,Axis Bank,16-05-2025
U0130,Working Professional,35-44,Noida,Android,ICICI Bank,19-08-2024
U0131,Student,21-24,Jaipur,Android,HDFC Bank,11-04-2025
U0132,Budget Conscious,45-54,Delhi,Android,Axis Bank,26-06-2026
U0133,Family User,30-39,Ludhiana,Android,HDFC Bank,23-01-2024
U0134,Frequent Traveler,35-44,Mumbai,Android,State Bank of India,07-02-2024
U0135,Family User,40-49,Ahmedabad,Android,ICICI Bank,15-05-2024
U0136,Budget Conscious,45-54,Gurgaon,Android,Kotak Mahindra Bank,04-12-2024
U0137,Budget Conscious,35-44,Pune,iOS,Kotak Mahindra Bank,24-09-2023
U0138,Working Professional,22-24,Mumbai,Android,Axis Bank,17-08-2025
U0139,Working Professional,25-34,Kolkata,Android,Axis Bank,07-12-2023
U0140,Working Professional,25-34,Chandigarh,Android,ICICI Bank,29-11-2023
U0141,Working Professional,25-34,Chandigarh,Android,Kotak Mahindra Bank,26-11-2023
U0142,Budget Conscious,35-44,Ludhiana,Android,ICICI Bank,01-04-2026
U0143,Student,21-24,Hyderabad,Android,ICICI Bank,15-06-2025
U0144,Budget Conscious,45-54,Ahmedabad,Android,HDFC Bank,14-09-2024
U0145,Student,18-20,Pune,Android,State Bank of India,15-01-2025
U0146,Family User,40-49,Hyderabad,Android,State Bank of India,17-11-2024
U0147,Working Professional,35-44,Ludhiana,Android,Axis Bank,18-01-2024
U0148,Working Professional,25-34,Noida,Android,ICICI Bank,19-05-2025
U0149,Working Professional,35-44,Ludhiana,iOS,ICICI Bank,15-11-2024
U0150,Student,21-24,Gurgaon,Android,Kotak Mahindra Bank,20-05-2024
U0151,Family User,30-39,Noida,Android,State Bank of India,09-10-2025
U0152,Student,18-20,Ahmedabad,Android,State Bank of India,27-07-2025
U0153,Student,18-20,Ludhiana,Android,ICICI Bank,28-07-2024
U0154,Family User,40-49,Mumbai,iOS,Kotak Mahindra Bank,06-07-2024
U0155,Working Professional,25-34,Hyderabad,Android,HDFC Bank,22-09-2025
U0156,Working Professional,25-34,Mumbai,iOS,Axis Bank,01-05-2024
U0157,Working Professional,35-44,Jaipur,Android,ICICI Bank,27-06-2024
U0158,Student,21-24,Mumbai,iOS,HDFC Bank,18-06-2026
U0159,Family User,40-49,Kolkata,Android,Kotak Mahindra Bank,02-08-2025
U0160,Working Professional,35-44,Pune,Android,Axis Bank,25-02-2026
U0161,Working Professional,35-44,Pune,Android,Kotak Mahindra Bank,27-02-2025
U0162,Student,18-20,Noida,Android,State Bank of India,16-06-2024
U0163,Family User,30-39,Noida,Android,HDFC Bank,12-09-2024
U0164,Student,21-24,Hyderabad,Android,Axis Bank,08-11-2025
U0165,Working Professional,22-24,Gurgaon,Android,Axis Bank,25-05-2026
U0166,Student,18-20,Gurgaon,Android,Kotak Mahindra Bank,09-06-2024
U0167,Family User,30-39,Pune,Android,ICICI Bank,21-04-2024
U0168,Family User,40-49,Bengaluru,Android,ICICI Bank,24-04-2025
U0169,Budget Conscious,45-54,Ahmedabad,iOS,State Bank of India,04-01-2025
U0170,Working Professional,25-34,Ahmedabad,Android,Axis Bank,13-01-2026
U0171,High Spender,50-59,Ludhiana,Android,HDFC Bank,12-03-2025
U0172,Family User,40-49,Ahmedabad,Android,State Bank of India,16-06-2026
U0173,Student,18-20,Jaipur,iOS,Kotak Mahindra Bank,30-08-2025
U0174,Family User,30-39,Jaipur,iOS,Kotak Mahindra Bank,10-04-2026
U0175,Student,18-20,Hyderabad,Android,Axis Bank,29-05-2025
U0176,High Spender,30-39,Kolkata,Android,Axis Bank,08-01-2025
U0177,High Spender,40-49,Chandigarh,Android,State Bank of India,22-12-2024
U0178,Family User,30-39,Chandigarh,Android,Axis Bank,15-04-2025
U0179,Working Professional,25-34,Ludhiana,Android,HDFC Bank,07-07-2024
U0180,Working Professional,25-34,Mumbai,iOS,Axis Bank,11-04-2024
U0181,Frequent Traveler,25-34,Jaipur,iOS,Axis Bank,27-10-2024
U0182,Working Professional,22-24,Ludhiana,Android,Axis Bank,10-04-2024
U0183,Family User,30-39,Noida,Android,ICICI Bank,02-11-2023
U0184,High Spender,40-49,Ahmedabad,Android,HDFC Bank,14-05-2026
U0185,High Spender,50-59,Noida,Android,State Bank of India,18-06-2026
U0186,Family User,50-59,Pune,Android,HDFC Bank,20-07-2025
U0187,Working Professional,22-24,Jaipur,iOS,Axis Bank,15-04-2024
U0188,High Spender,40-49,Ludhiana,Android,Axis Bank,10-09-2024
U0189,Frequent Traveler,35-44,Noida,Android,ICICI Bank,16-04-2026
U0190,Working Professional,35-44,Ludhiana,Android,ICICI Bank,28-10-2024
U0191,Frequent Traveler,35-44,Pune,Android,Kotak Mahindra Bank,12-10-2025
U0192,Working Professional,22-24,Gurgaon,Android,Kotak Mahindra Bank,17-03-2026
U0193,Family User,50-59,Hyderabad,iOS,Axis Bank,15-09-2024
U0194,Family User,40-49,Chandigarh,Android,Kotak Mahindra Bank,23-02-2025
U0195,Working Professional,25-34,Noida,iOS,ICICI Bank,20-05-2025
U0196,Family User,30-39,Pune,Android,Axis Bank,25-04-2025
U0197,Budget Conscious,35-44,Pune,iOS,ICICI Bank,14-02-2026
U0198,Working Professional,22-24,Bengaluru,Android,Kotak Mahindra Bank,24-10-2025
U0199,Working Professional,22-24,Hyderabad,Android,Axis Bank,28-08-2024
U0200,Student,18-20,Pune,iOS,ICICI Bank,23-11-2023
U0201,Student,21-24,Chandigarh,Android,Axis Bank,15-06-2026
U0202,Family User,40-49,Jaipur,iOS,Axis Bank,16-05-2025
U0203,High Spender,50-59,Ahmedabad,iOS,Axis Bank,01-09-2025
U0204,Frequent Traveler,25-34,Kolkata,Android,State Bank of India,15-06-2025
U0205,High Spender,50-59,Mumbai,Android,HDFC Bank,25-08-2025
U0206,Budget Conscious,45-54,Mumbai,Android,State Bank of India,06-09-2025
U0207,High Spender,30-39,Chandigarh,Android,State Bank of India,23-06-2026
U0208,Working Professional,25-34,Bengaluru,Android,Axis Bank,23-05-2025
U0209,Family User,30-39,Bengaluru,Android,Kotak Mahindra Bank,09-01-2025
U0210,Frequent Traveler,45-54,Jaipur,Android,Kotak Mahindra Bank,05-10-2025
U0211,Student,21-24,Jaipur,Android,State Bank of India,25-06-2026
U0212,Family User,40-49,Gurgaon,Android,ICICI Bank,17-01-2026
U0213,Student,21-24,Kolkata,Android,Axis Bank,08-10-2023
U0214,Budget Conscious,35-44,Gurgaon,Android,Axis Bank,19-10-2024
U0215,Frequent Traveler,25-34,Noida,Android,State Bank of India,21-01-2025
U0216,Family User,50-59,Gurgaon,Android,Axis Bank,15-08-2023
U0217,Working Professional,35-44,Jaipur,Android,HDFC Bank,29-02-2024
U0218,High Spender,50-59,Hyderabad,iOS,State Bank of India,20-08-2023
U0219,Budget Conscious,25-34,Kolkata,Android,ICICI Bank,28-12-2023
U0220,Family User,50-59,Gurgaon,Android,ICICI Bank,06-06-2026
U0221,Family User,50-59,Jaipur,Android,Axis Bank,03-07-2026
U0222,Student,21-24,Ahmedabad,Android,State Bank of India,07-02-2024
U0223,Working Professional,25-34,Bengaluru,Android,Kotak Mahindra Bank,01-05-2025
U0224,Frequent Traveler,35-44,Ludhiana,Android,State Bank of India,10-02-2026
U0225,Frequent Traveler,35-44,Hyderabad,iOS,State Bank of India,06-06-2026
U0226,Budget Conscious,35-44,Mumbai,Android,HDFC Bank,03-03-2026
U0227,Student,18-20,Jaipur,Android,Axis Bank,28-05-2024
U0228,High Spender,50-59,Chandigarh,Android,Axis Bank,08-01-2024
U0229,Student,18-20,Hyderabad,Android,State Bank of India,11-12-2025
U0230,Family User,50-59,Chandigarh,Android,ICICI Bank,30-01-2026
U0231,Working Professional,35-44,Ludhiana,Android,Kotak Mahindra Bank,16-10-2023
U0232,Working Professional,22-24,Jaipur,iOS,State Bank of India,12-10-2024
U0233,Family User,30-39,Bengaluru,Android,HDFC Bank,27-09-2025
U0234,Working Professional,25-34,Mumbai,Android,Kotak Mahindra Bank,30-05-2026
U0235,Student,21-24,Chandigarh,Android,Kotak Mahindra Bank,19-03-2025
U0236,Working Professional,35-44,Ahmedabad,Android,Axis Bank,20-09-2024
U0237,Family User,40-49,Kolkata,Android,State Bank of India,19-08-2025
U0238,Student,21-24,Noida,Android,ICICI Bank,05-06-2025
U0239,Frequent Traveler,25-34,Jaipur,Android,State Bank of India,03-10-2025
U0240,Student,21-24,Noida,iOS,Axis Bank,24-08-2024
U0241,Student,18-20,Jaipur,Android,HDFC Bank,02-10-2023
U0242,Student,21-24,Noida,iOS,Kotak Mahindra Bank,23-09-2023
U0243,Working Professional,35-44,Noida,Android,ICICI Bank,24-11-2025
U0244,Working Professional,22-24,Kolkata,Android,ICICI Bank,22-01-2026
U0245,High Spender,50-59,Gurgaon,Android,HDFC Bank,12-03-2026
U0246,Family User,30-39,Bengaluru,Android,ICICI Bank,03-06-2025
U0247,Family User,30-39,Bengaluru,Android,ICICI Bank,19-01-2024
U0248,Budget Conscious,45-54,Mumbai,Android,Axis Bank,20-02-2026
U0249,Working Professional,25-34,Ludhiana,Android,Axis Bank,25-01-2026
U0250,Family User,50-59,Delhi,Android,Kotak Mahindra Bank,01-11-2024
U0251,Working Professional,35-44,Delhi,Android,Axis Bank,01-12-2025
U0252,Frequent Traveler,35-44,Jaipur,Android,Axis Bank,23-04-2026
U0253,Student,18-20,Chandigarh,Android,HDFC Bank,19-10-2023
U0254,Student,21-24,Pune,iOS,Kotak Mahindra Bank,28-09-2025
U0255,Working Professional,35-44,Kolkata,Android,HDFC Bank,05-11-2023
U0256,Frequent Traveler,45-54,Ludhiana,Android,ICICI Bank,01-11-2023
U0257,Working Professional,22-24,Pune,Android,Axis Bank,12-03-2025
U0258,Working Professional,35-44,Mumbai,Android,State Bank of India,05-11-2025
U0259,Family User,40-49,Bengaluru,Android,Axis Bank,11-07-2024
U0260,Student,18-20,Mumbai,Android,State Bank of India,17-10-2023
U0261,Frequent Traveler,45-54,Delhi,Android,Kotak Mahindra Bank,04-02-2026
U0262,Family User,50-59,Mumbai,Android,Axis Bank,13-12-2023
U0263,Frequent Traveler,45-54,Delhi,iOS,Kotak Mahindra Bank,10-01-2026
U0264,Working Professional,22-24,Kolkata,Android,ICICI Bank,24-02-2026
U0265,Family User,30-39,Mumbai,Android,Kotak Mahindra Bank,01-03-2024
U0266,Working Professional,25-34,Kolkata,Android,Axis Bank,04-03-2026
U0267,Frequent Traveler,45-54,Kolkata,Android,Kotak Mahindra Bank,16-11-2024
U0268,Student,21-24,Delhi,Android,State Bank of India,15-08-2023
U0269,High Spender,40-49,Delhi,Android,ICICI Bank,05-03-2026
U0270,Family User,40-49,Mumbai,Android,HDFC Bank,20-11-2023
U0271,Student,18-20,Pune,Android,State Bank of India,04-11-2025
U0272,Student,21-24,Ahmedabad,Android,Kotak Mahindra Bank,04-07-2026
U0273,Family User,30-39,Bengaluru,Android,Kotak Mahindra Bank,04-12-2025
U0274,Student,18-20,Gurgaon,Android,Axis Bank,10-04-2025
U0275,Working Professional,25-34,Pune,Android,Kotak Mahindra Bank,22-09-2023
U0276,Student,21-24,Mumbai,Android,Kotak Mahindra Bank,15-08-2023
U0277,Working Professional,35-44,Gurgaon,Android,Axis Bank,03-12-2023
U0278,High Spender,30-39,Delhi,Android,ICICI Bank,01-07-2025
U0279,Budget Conscious,35-44,Gurgaon,Android,HDFC Bank,17-09-2025
U0280,Working Professional,25-34,Bengaluru,Android,Kotak Mahindra Bank,25-05-2025
U0281,Budget Conscious,45-54,Ludhiana,iOS,State Bank of India,06-10-2023
U0282,Student,18-20,Pune,Android,HDFC Bank,19-09-2025
U0283,Frequent Traveler,45-54,Pune,Android,Axis Bank,20-08-2023
U0284,Working Professional,25-34,Delhi,iOS,ICICI Bank,30-01-2024
U0285,Frequent Traveler,45-54,Hyderabad,iOS,State Bank of India,10-07-2024
U0286,Student,18-20,Noida,Android,Axis Bank,26-07-2024
U0287,Family User,40-49,Gurgaon,Android,ICICI Bank,20-01-2026
U0288,Working Professional,22-24,Mumbai,Android,HDFC Bank,02-06-2024
U0289,Family User,30-39,Chandigarh,Android,ICICI Bank,26-02-2024
U0290,Working Professional,22-24,Gurgaon,Android,Kotak Mahindra Bank,04-05-2024
